2021-08-10 18:03:02   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 18:03:02   INFO [    TestsR:43  ] : browser was opened
2021-08-10 18:03:06   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:03:06   INFO [    TestsR:54  ] : Link was opened
2021-08-10 18:03:06  ERROR [WebElements:25  ] : Can't work wit element null
2021-08-10 18:04:09   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 18:04:09   INFO [    TestsR:43  ] : browser was opened
2021-08-10 18:04:12   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:04:12   INFO [    TestsR:54  ] : Link was opened
2021-08-10 18:04:13  ERROR [WebElements:25  ] : Can't work wit element null
2021-08-10 18:07:56   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 18:07:56   INFO [    TestsR:43  ] : browser was opened
2021-08-10 18:08:00   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:08:00   INFO [    TestsR:54  ] : Link was opened
2021-08-10 18:16:44   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 18:16:45   INFO [    TestsR:43  ] : browser was opened
2021-08-10 18:16:48   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:16:48   INFO [    TestsR:54  ] : Link was opened
2021-08-10 18:19:15   INFO [    TestsR:41  ] : Get chromeDriver
2021-08-10 18:19:15   INFO [    TestsR:44  ] : browser was opened
2021-08-10 18:19:19   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:19:19   INFO [    TestsR:55  ] : Link was opened
2021-08-10 18:19:54   INFO [    TestsR:41  ] : Get chromeDriver
2021-08-10 18:19:54   INFO [    TestsR:44  ] : browser was opened
2021-08-10 18:19:58   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:19:58   INFO [    TestsR:55  ] : Link was opened
2021-08-10 18:24:02   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:24:02   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:24:05   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:24:05   INFO [    TestsR:70  ] : Link was opened
2021-08-10 18:25:17   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:25:17   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:25:21   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:25:21   INFO [    TestsR:56  ] : Link was opened
2021-08-10 18:26:08   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:26:08   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:26:11   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:26:11   INFO [    TestsR:56  ] : Link was opened
2021-08-10 18:26:49   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:26:49   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:26:52   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
